Tipo Entrega,Segmento,Cidade,Estado,Postal Code,Regiao,Categoria,Sub-Categoria,Venda,Quantidade,Desconto,Lucro,Codigo_Estado,Latitude,Longitude,Resultado
Econômica,Consumidor,Henderson,Kentucky,42420,South,Material de Escritório,Grampeador,8.75,1,0.0,2.62,KY,37.8367513,-87.5907631,Lucro
Econômica,Consumidor,Henderson,Kentucky,42420,South,Móveis,Mesas,842.94,3,0.0,160.16,KY,37.8367513,-87.5907631,Lucro
Padrão,Home Office,Henderson,Kentucky,42420,South,Móveis,Móveis,27.58,2,0.0,11.58,KY,37.8367513,-87.5907631,Lucro
Econômica,Corporate,Henderson,Kentucky,42420,South,Material de Escritório,Envelopes,5.32,2,0.0,2.61,KY,37.8367513,-87.5907631,Lucro
Econômica,Corporate,Henderson,Kentucky,42420,South,Móveis,Cadeiras,975.92,4,0.0,292.78,KY,37.8367513,-87.5907631,Lucro
Econômica,Corporate,Henderson,Kentucky,42420,South,Tecnologia,Accessórios,2249.91,9,0.0,517.48,KY,37.8367513,-87.5907631,Lucro
Econômica,Corporate,Henderson,Kentucky,42420,South,Material de Escritório,Pen Drive,59.92,4,0.0,16.78,KY,37.8367513,-87.5907631,Lucro
Padrão,Consumidor,Henderson,Kentucky,42420,South,Material de Escritório,Canetas,106.32,3,0.0,49.97,KY,37.8367513,-87.5907631,Lucro
Padrão,Consumidor,Henderson,Kentucky,42420,South,Material de Escritório,Impressora,163.44,3,0.0,45.76,KY,37.8367513,-87.5907631,Lucro
Padrão,Consumidor,Henderson,Kentucky,42420,South,Material de Escritório,Grampeador,42.76,2,0.0,11.12,KY,37.8367513,-87.5907631,Lucro
Padrão,Consumidor,Henderson,Kentucky,42420,South,Material de Escritório,Canetas,51.55,5,0.0,24.23,KY,37.8367513,-87.5907631,Lucro
Padrão,Home Office,Henderson,Kentucky,42420,South,Móveis,Cadeiras,2573.82,9,0.0,746.41,KY,37.8367513,-87.5907631,Lucro
Padrão,Home Office,Henderson,Kentucky,42420,South,Material de Escritório,Papel,609.98,2,0.0,274.49,KY,37.8367513,-87.5907631,Lucro
Padrão,Home Office,Henderson,Kentucky,42420,South,Material de Escritório,Grampeador,5.48,2,0.0,1.48,KY,37.8367513,-87.5907631,Lucro
Padrão,Home Office,Henderson,Kentucky,42420,South,Tecnologia,Smartphones,391.98,2,0.0,113.67,KY,37.8367513,-87.5907631,Lucro
Padrão,Home Office,Henderson,Kentucky,42420,South,Tecnologia,Smartphones,755.96,4,0.0,204.11,KY,37.8367513,-87.5907631,Lucro
Padrão,Home Office,Henderson,Kentucky,42420,South,Material de Escritório,Pastas,31.12,4,0.0,0.31,KY,37.8367513,-87.5907631,Lucro
Padrão,Home Office,Henderson,Kentucky,42420,South,Material de Escritório,Canetas,6.54,1,0.0,3.01,KY,37.8367513,-87.5907631,Lucro
Econômica,Corporate,Henderson,Kentucky,42420,South,Material de Escritório,Papel,12.39,3,0.0,5.82,KY,37.8367513,-87.5907631,Lucro
Padrão,Corporate,Henderson,Kentucky,42420,South,Material de Escritório,Pen Drive,828.84,6,0.0,0.0,KY,37.8367513,-87.5907631,Lucro Zero
Padrão,Consumidor,Henderson,Kentucky,42420,South,Móveis,Móveis,318.08,4,0.0,34.99,KY,37.8367513,-87.5907631,Lucro
Padrão,Consumidor,Henderson,Kentucky,42420,South,Material de Escritório,Papel,5.8,1,0.0,2.61,KY,37.8367513,-87.5907631,Lucro
Padrão,Consumidor,Henderson,Kentucky,42420,South,Material de Escritório,Papel,1577.94,3,0.0,757.41,KY,37.8367513,-87.5907631,Lucro
Econômica,Corporate,Los Angeles,California,90036,West,Material de Escritório,Etiquetas,14.62,2,0.0,6.87,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Material de Escritório,Grampeador,20.1,3,0.0,6.63,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Tecnologia,Smartphones,73.58,2,0.2,8.28,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Material de Escritório,Canetas,6.48,1,0.0,3.11,CA,34.0536909,-118.242766,Lucro
Econômica,Corporate,Los Angeles,California,90036,West,Móveis,Cadeiras,190.72,1,0.2,11.92,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Tecnologia,Accessórios,166.24,1,0.0,24.94,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,33.4,5,0.0,16.03,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Móveis,Móveis,79.92,4,0.0,28.77,CA,34.0536909,-118.242766,Lucro
Especial,Corporate,Los Angeles,California,90036,West,Material de Escritório,Papel,37.44,4,0.2,11.7,CA,34.0536909,-118.242766,Lucro
Especial,Corporate,Los Angeles,California,90036,West,Material de Escritório,Papel,26.98,4,0.2,8.77,CA,34.0536909,-118.242766,Lucro
Especial,Corporate,Los Angeles,California,90036,West,Material de Escritório,Suprimentos Gerais,11.36,2,0.0,3.29,CA,34.0536909,-118.242766,Lucro
Especial,Corporate,Los Angeles,California,90036,West,Material de Escritório,Etiquetas,14.62,2,0.0,6.87,CA,34.0536909,-118.242766,Lucro
Econômica,Home Office,Los Angeles,California,90036,West,Material de Escritório,Canetas,32.4,5,0.0,15.55,CA,34.0536909,-118.242766,Lucro
Econômica,Home Office,Los Angeles,California,90036,West,Material de Escritório,Impressora,81.92,4,0.0,22.12,CA,34.0536909,-118.242766,Lucro
Econômica,Home Office,Los Angeles,California,90036,West,Tecnologia,Smartphones,889.54,8,0.2,66.72,CA,34.0536909,-118.242766,Lucro
Econômica,Home Office,Los Angeles,California,90036,West,Móveis,Cadeiras,892.22,3,0.2,89.22,CA,34.0536909,-118.242766,Lucro
Econômica,Home Office,Los Angeles,California,90036,West,Material de Escritório,Canetas,223.92,4,0.0,109.72,CA,34.0536909,-118.242766,Lucro
Econômica,Home Office,Los Angeles,California,90036,West,Material de Escritório,Canetas,23.12,4,0.0,11.33,CA,34.0536909,-118.242766,Lucro
Padrão,Home Office,Los Angeles,California,90036,West,Material de Escritório,Pen Drive,249.75,9,0.0,44.96,CA,34.0536909,-118.242766,Lucro
Padrão,Home Office,Los Angeles,California,90036,West,Tecnologia,Smartphones,255.94,8,0.2,28.79,CA,34.0536909,-118.242766,Lucro
Especial,Consumidor,Los Angeles,California,90036,West,Móveis,Móveis,8.36,2,0.0,3.01,CA,34.0536909,-118.242766,Lucro
Econômica,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Etiquetas,9.96,2,0.0,4.58,CA,34.0536909,-118.242766,Lucro
Econômica,Corporate,Los Angeles,California,90036,West,Móveis,Mesas,143.43,1,0.2,3.59,CA,34.0536909,-118.242766,Lucro
Econômica,Corporate,Los Angeles,California,90036,West,Móveis,Cadeiras,122.35,3,0.2,13.76,CA,34.0536909,-118.242766,Lucro
Econômica,Corporate,Los Angeles,California,90036,West,Material de Escritório,Papel,7.52,5,0.2,2.63,CA,34.0536909,-118.242766,Lucro
Econômica,Corporate,Los Angeles,California,90036,West,Móveis,Mesas,1322.35,3,0.2,-99.18,CA,34.0536909,-118.242766,Prejuízo
Especial,Home Office,Los Angeles,California,90036,West,Móveis,Cadeiras,601.54,4,0.2,0.0,CA,34.0536909,-118.242766,Lucro Zero
Especial,Home Office,Los Angeles,California,90036,West,Material de Escritório,Pastas,7.9,2,0.0,2.53,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Impressora,10.89,1,0.0,2.83,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,19.44,3,0.0,9.33,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Papel,121.6,5,0.2,39.52,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Grampeador,4.26,1,0.0,1.75,CA,34.0536909,-118.242766,Lucro
Padrão,Home Office,Los Angeles,California,90036,West,Móveis,Mesas,513.02,2,0.2,12.83,CA,34.0536909,-118.242766,Lucro
Padrão,Home Office,Los Angeles,California,90036,West,Material de Escritório,Impressora,487.92,6,0.0,136.62,CA,34.0536909,-118.242766,Lucro
Padrão,Home Office,Los Angeles,California,90036,West,Material de Escritório,Papel,15.24,5,0.2,5.33,CA,34.0536909,-118.242766,Lucro
Econômica,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Pen Drive,330.4,2,0.0,85.9,CA,34.0536909,-118.242766,Lucro
Econômica,Consumidor,Los Angeles,California,90036,West,Tecnologia,Smartphones,604.75,6,0.2,37.8,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Tecnologia,Accessórios,659.9,2,0.0,217.77,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Móveis,Cadeiras,1684.75,6,0.2,210.59,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Tecnologia,Accessórios,559.92,8,0.0,190.37,CA,34.0536909,-118.242766,Lucro
Econômica,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,17.34,3,0.0,8.5,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,53.82,9,0.0,24.22,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Móveis,Móveis,474.43,11,0.0,199.26,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Papel,3.17,2,0.2,0.99,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Pen Drive,454.86,7,0.0,54.58,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Papel,91.39,8,0.2,29.7,CA,34.0536909,-118.242766,Lucro
Padrão,Home Office,Los Angeles,California,90036,West,Material de Escritório,Papel,112.12,5,0.2,42.04,CA,34.0536909,-118.242766,Lucro
Padrão,Home Office,Los Angeles,California,90036,West,Material de Escritório,Pen Drive,1575.14,7,0.0,204.77,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Tecnologia,Accessórios,66.3,3,0.0,8.62,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Móveis,Mesas,171.29,3,0.2,-6.42,CA,34.0536909,-118.242766,Prejuízo
Padrão,Home Office,Los Angeles,California,90036,West,Tecnologia,Fax,479.98,2,0.2,90.0,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Móveis,Móveis,43.13,1,0.0,18.11,CA,34.0536909,-118.242766,Lucro
Especial,Corporate,Los Angeles,California,90036,West,Material de Escritório,Papel,14.02,4,0.2,4.91,CA,34.0536909,-118.242766,Lucro
Econômica,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,67.71,3,0.0,32.5,CA,34.0536909,-118.242766,Lucro
Econômica,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Impressora,129.92,4,0.0,38.98,CA,34.0536909,-118.242766,Lucro
Econômica,Consumidor,Los Angeles,California,90036,West,Móveis,Móveis,467.46,9,0.0,191.66,CA,34.0536909,-118.242766,Lucro
Econômica,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,61.4,5,0.0,28.86,CA,34.0536909,-118.242766,Lucro
Econômica,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Pen Drive,720.76,4,0.0,187.4,CA,34.0536909,-118.242766,Lucro
Econômica,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Papel,5.18,3,0.2,1.81,CA,34.0536909,-118.242766,Lucro
Econômica,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Grampeador,14.7,5,0.0,3.97,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Móveis,Móveis,37.68,2,0.0,15.83,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Tecnologia,Smartphones,258.58,2,0.2,19.39,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Material de Escritório,Impressora,75.84,2,0.0,29.58,CA,34.0536909,-118.242766,Lucro
Econômica,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,166.44,3,0.0,79.89,CA,34.0536909,-118.242766,Lucro
Premium,Home Office,Los Angeles,California,90036,West,Móveis,Cadernos,599.16,5,0.15,35.24,CA,34.0536909,-118.242766,Lucro
Premium,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,61.96,2,0.0,27.88,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Móveis,Cadeiras,638.29,7,0.2,-31.91,CA,34.0536909,-118.242766,Prejuízo
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Papel,13.21,1,0.2,4.62,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Tecnologia,Smartphones,57.57,4,0.2,5.76,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Material de Escritório,Pen Drive,99.87,3,0.0,23.97,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Móveis,Móveis,6.28,1,0.0,2.64,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Tecnologia,Accessórios,95.1,5,0.0,30.43,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Material de Escritório,Canetas,25.92,4,0.0,12.44,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Material de Escritório,Pen Drive,48.84,4,0.0,13.19,CA,34.0536909,-118.242766,Lucro
Padrão,Home Office,Los Angeles,California,90036,West,Móveis,Móveis,15.24,3,0.0,5.18,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Tecnologia,Accessórios,44.75,5,0.0,8.5,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Material de Escritório,Canetas,11.96,2,0.0,5.38,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Material de Escritório,Papel,3.91,1,0.2,1.27,CA,34.0536909,-118.242766,Lucro
Econômica,Home Office,Los Angeles,California,90036,West,Material de Escritório,Canetas,13.36,2,0.0,6.41,CA,34.0536909,-118.242766,Lucro
Econômica,Home Office,Los Angeles,California,90036,West,Material de Escritório,Pen Drive,158.9,5,0.0,7.94,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Impressora,168.1,5,0.0,43.71,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Material de Escritório,Canetas,32.04,4,0.0,14.42,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,154.9,5,0.0,69.7,CA,34.0536909,-118.242766,Lucro
Padrão,Home Office,Los Angeles,California,90036,West,Material de Escritório,Grampeador,21.4,5,0.0,6.21,CA,34.0536909,-118.242766,Lucro
Padrão,Home Office,Los Angeles,California,90036,West,Material de Escritório,Etiquetas,12.6,2,0.0,5.8,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Móveis,Móveis,59.99,7,0.0,21.6,CA,34.0536909,-118.242766,Lucro
Especial,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,19.44,3,0.0,9.33,CA,34.0536909,-118.242766,Lucro
Especial,Consumidor,Los Angeles,California,90036,West,Móveis,Cadeiras,194.35,3,0.2,-36.44,CA,34.0536909,-118.242766,Prejuízo
Especial,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Papel,36.62,3,0.2,13.73,CA,34.0536909,-118.242766,Lucro
Premium,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Grampeador,6.08,2,0.0,2.07,CA,34.0536909,-118.242766,Lucro
Premium,Consumidor,Los Angeles,California,90036,West,Tecnologia,Smartphones,164.79,1,0.2,18.54,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Material de Escritório,Pen Drive,221.96,2,0.0,4.44,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Tecnologia,Accessórios,236.0,4,0.0,40.12,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Móveis,Cadeiras,892.22,3,0.2,89.22,CA,34.0536909,-118.242766,Lucro
Especial,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Grampeador,99.2,5,0.0,25.79,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,25.92,4,0.0,12.44,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Móveis,Cadeiras,232.88,5,0.2,17.47,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Tecnologia,Accessórios,1649.95,5,0.0,659.98,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Móveis,Cadeiras,362.35,3,0.2,45.29,CA,34.0536909,-118.242766,Lucro
Especial,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Impressora,61.44,3,0.0,16.59,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90036,West,Material de Escritório,Canetas,105.52,4,0.0,48.54,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,19.98,2,0.0,8.99,CA,34.0536909,-118.242766,Lucro
Econômica,Corporate,Los Angeles,California,90036,West,Material de Escritório,Grampeador,39.68,2,0.0,10.32,CA,34.0536909,-118.242766,Lucro
Econômica,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,17.12,4,0.0,7.7,CA,34.0536909,-118.242766,Lucro
Premium,Corporate,Los Angeles,California,90036,West,Material de Escritório,Suprimentos Gerais,231.72,2,0.0,11.59,CA,34.0536909,-118.242766,Lucro
Premium,Corporate,Los Angeles,California,90036,West,Material de Escritório,Pastas,17.9,5,0.0,8.95,CA,34.0536909,-118.242766,Lucro
Premium,Corporate,Los Angeles,California,90036,West,Material de Escritório,Canetas,12.48,2,0.0,5.62,CA,34.0536909,-118.242766,Lucro
Econômica,Corporate,Los Angeles,California,90036,West,Material de Escritório,Pen Drive,276.28,2,0.0,0.0,CA,34.0536909,-118.242766,Lucro Zero
Padrão,Home Office,Los Angeles,California,90036,West,Material de Escritório,Etiquetas,22.05,7,0.0,10.58,CA,34.0536909,-118.242766,Lucro
Padrão,Home Office,Los Angeles,California,90036,West,Material de Escritório,Canetas,99.9,5,0.0,46.95,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Móveis,Móveis,94.68,9,0.0,31.24,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Pen Drive,23.67,3,0.0,0.95,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Tecnologia,Smartphones,1091.17,4,0.2,68.2,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Grampeador,18.69,7,0.0,5.23,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Móveis,Mesas,568.73,3,0.2,28.44,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Papel,7.31,1,0.2,2.56,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Canetas,211.04,8,0.0,97.08,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Móveis,Cadeiras,594.82,2,0.2,59.48,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90036,West,Material de Escritório,Papel,72.96,3,0.2,23.71,CA,34.0536909,-118.242766,Lucro
Especial,Consumidor,Los Angeles,California,90036,West,Móveis,Cadeiras,2803.92,5,0.2,0.0,CA,34.0536909,-118.242766,Lucro Zero
Padrão,Consumidor,Los Angeles,California,90036,West,Tecnologia,Smartphones,139.8,5,0.2,12.23,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Fort Lauderdale,Florida,33311,South,Móveis,Mesas,957.58,5,0.45,-383.03,FL,26.1209593,-80.1697911,Prejuízo
Padrão,Consumidor,Fort Lauderdale,Florida,33311,South,Material de Escritório,Pen Drive,22.37,2,0.2,2.52,FL,26.1209593,-80.1697911,Lucro
Padrão,Home Office,Fort Lauderdale,Florida,33311,South,Material de Escritório,Canetas,10.37,2,0.2,3.63,FL,26.1209593,-80.1697911,Lucro
Especial,Consumidor,Fort Lauderdale,Florida,33311,South,Móveis,Móveis,19.1,3,0.2,5.73,FL,26.1209593,-80.1697911,Lucro
Padrão,Home Office,Fort Lauderdale,Florida,33311,South,Material de Escritório,Pen Drive,147.18,2,0.2,-29.44,FL,26.1209593,-80.1697911,Prejuízo
Padrão,Home Office,Fort Lauderdale,Florida,33311,South,Tecnologia,Accessórios,41.42,2,0.2,8.28,FL,26.1209593,-80.1697911,Lucro
Econômica,Consumidor,Fort Lauderdale,Florida,33311,South,Material de Escritório,Papel,7.76,4,0.7,-5.18,FL,26.1209593,-80.1697911,Prejuízo
Padrão,Corporate,Fort Lauderdale,Florida,33311,South,Tecnologia,Smartphones,519.68,7,0.2,58.46,FL,26.1209593,-80.1697911,Lucro
Econômica,Corporate,Fort Lauderdale,Florida,33311,South,Material de Escritório,Impressora,1158.12,5,0.2,130.29,FL,26.1209593,-80.1697911,Lucro
Padrão,Consumidor,Fort Lauderdale,Florida,33311,South,Tecnologia,Smartphones,116.76,1,0.2,14.6,FL,26.1209593,-80.1697911,Lucro
Padrão,Consumidor,Fort Lauderdale,Florida,33311,South,Móveis,Mesas,331.02,7,0.45,-114.35,FL,26.1209593,-80.1697911,Prejuízo
Padrão,Home Office,Fort Lauderdale,Florida,33311,South,Tecnologia,Accessórios,799.92,10,0.2,239.98,FL,26.1209593,-80.1697911,Lucro
Padrão,Consumidor,Fort Lauderdale,Florida,33311,South,Móveis,Cadernos,723.92,5,0.2,-81.44,FL,26.1209593,-80.1697911,Prejuízo
Padrão,Home Office,Fort Lauderdale,Florida,33311,South,Móveis,Móveis,45.57,2,0.2,9.68,FL,26.1209593,-80.1697911,Lucro
Padrão,Home Office,Fort Lauderdale,Florida,33311,South,Material de Escritório,Papel,28.75,8,0.7,-21.08,FL,26.1209593,-80.1697911,Prejuízo
Padrão,Consumidor,Los Angeles,California,90032,West,Móveis,Móveis,48.86,7,0.0,14.17,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90032,West,Material de Escritório,Grampeador,7.28,4,0.0,1.97,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90032,West,Tecnologia,Smartphones,907.15,6,0.2,90.72,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90032,West,Material de Escritório,Papel,18.5,3,0.2,5.78,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90032,West,Material de Escritório,Impressora,114.9,5,0.0,34.47,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90032,West,Móveis,Mesas,1706.18,9,0.2,85.31,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90032,West,Tecnologia,Smartphones,911.42,4,0.2,68.36,CA,34.0536909,-118.242766,Lucro
Padrão,Home Office,Los Angeles,California,90032,West,Tecnologia,Accessórios,176.8,8,0.0,22.98,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90032,West,Material de Escritório,Pen Drive,93.06,6,0.0,26.06,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90032,West,Tecnologia,Smartphones,302.38,3,0.2,22.68,CA,34.0536909,-118.242766,Lucro
Especial,Consumidor,Los Angeles,California,90032,West,Tecnologia,Smartphones,55.18,3,0.2,-12.41,CA,34.0536909,-118.242766,Prejuízo
Especial,Consumidor,Los Angeles,California,90032,West,Tecnologia,Accessórios,66.26,2,0.0,27.17,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90032,West,Móveis,Móveis,47.94,3,0.0,2.4,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90032,West,Material de Escritório,Canetas,20.04,3,0.0,9.62,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90032,West,Material de Escritório,Pen Drive,64.96,2,0.0,2.6,CA,34.0536909,-118.242766,Lucro
Padrão,Consumidor,Los Angeles,California,90032,West,Material de Escritório,Canetas,12.96,2,0.0,6.22,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90032,West,Material de Escritório,Canetas,38.88,6,0.0,18.66,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90032,West,Móveis,Móveis,183.84,8,0.0,62.51,CA,34.0536909,-118.242766,Lucro
Padrão,Corporate,Los Angeles,California,90032,West,Material de Escritório,Suprimentos Gerais,579.3,5,0.0,28.96,CA,34.0536909,-118.242766,Lucro
